time,open,high,low,close,PSAR,Long Start,Buy Label,Short Start,Sell Label,,Volume,Volume MA,ADX
1577094000,27951,27951,27951,27951,27962.38016,NaN,NaN,NaN,NaN,27951,3,7.2,4.418440613374846
1577094300,27960,27960,27960,27960,27940,27940,27940,NaN,NaN,27960,1,6.5,4.46836175156206
1577094900,27959,27959,27959,27959,27942,NaN,NaN,NaN,NaN,27959,1,6.3,4.448107158598344
1577104200,27968,27968,27968,27968,27943.8,NaN,NaN,NaN,NaN,27968,1,6.3,4.9711787647539865
1577106000,27975,27975,27975,27975,27946.703999999998,NaN,NaN,NaN,NaN,27975,1,6.3,5.8488395204596735
1577109000,27960,27960,27960,27960,27950.665439999997,NaN,NaN,NaN,NaN,27960,1,6.3,5.612580218034467
1577109900,27958,27958,27958,27958,27954.0722784,NaN,NaN,NaN,NaN,27958,1,6.3,5.263532904364928
1577110200,27950,27950,27950,27950,27975,NaN,NaN,27975,27975,27950,2,1.9,5.3455021632690904
1577111100,27958,27958,27955,27955,27972.5,NaN,NaN,NaN,NaN,27956.5,2,1.9,5.0446139467425555
1577114400,27959,27959,27959,27959,27970.25,NaN,NaN,NaN,NaN,27959,1,1.75,4.831977861268821
1577115300,27955,27955,27955,27955,27968.225,NaN,NaN,NaN,NaN,27955,1,1.75,4.62441825629119
1577117400,27920,27920,27920,27920,27966.4025,NaN,NaN,NaN,NaN,27920,1,1.75,6.318837068972895
1577121900,27925,27925,27925,27925,27960.8342,NaN,NaN,NaN,NaN,27925,1,1.75,7.527398491318708
1577150100,27900,27957,27900,27915,27900,27900,27900,NaN,NaN,27918,9,2.15,7.224564208059217
1577150400,27945,27946,27945,27946,27900,NaN,NaN,NaN,NaN,27945.5,2,2.1,6.9433609450325475
1577150700,27967,27967,27965,27965,27900,NaN,NaN,NaN,NaN,27966,2,2.15,7.6546268928322645
1577151000,27988,27988,27967,27968,27908.04,NaN,NaN,NaN,NaN,27977.75,13,2.6,9.096424902358377
1577151300,27975,27975,27961,27961,27919.2344,NaN,NaN,NaN,NaN,27968,5,2.5,10.079784266903232
1577151600,27954,27954,27954,27954,27928.861584000002,NaN,NaN,NaN,NaN,27954,1,2.5,10.58370596903494
1577151900,27928,27928,27913,27913,27988,NaN,NaN,27988,27988,27920.5,10,2.95,10.505316944758922
1577152200,27910,27910,27881,27881,27980.5,NaN,NaN,NaN,NaN,27895.5,14,3.5,11.469469500932991
1577152500,27894,27912,27894,27912,27968.56,NaN,NaN,NaN,NaN,27903,2,3.55,12.270157447129048
1577152800,27908,27908,27886,27886,27958.0528,NaN,NaN,NaN,NaN,27897,4,3.7,13.256565422405805
1577153100,27900,27903,27885,27885,27948.806464,NaN,NaN,NaN,NaN,27893.25,3,3.8,14.203593164504893
1577153400,27900,27900,27893,27893,27940.669688320002,NaN,NaN,NaN,NaN,27896.5,2,3.85,15.082976067882617
1577153700,27940,27950,27930,27930,27881,27881,27881,NaN,NaN,27937.5,5,4.05,14.411202485905852
1577154000,27925,27925,27900,27902,27887.9,NaN,NaN,NaN,NaN,27913,5,4.25,14.042118557145605
1577154600,27895,27895,27893,27893,27950,NaN,NaN,27950,27950,27894,2,4.25,13.921530714971468
1577155200,27888,27902,27888,27902,27944.3,NaN,NaN,NaN,NaN,27895,6,4.45,13.52394667350723
1577155500,27908,27908,27908,27908,27937.543999999998,NaN,NaN,NaN,NaN,27908,1,4.45,12.908591423089092
1577156100,27933,27933,27933,27933,27888,27888,27888,NaN,NaN,27933,1,4.45,12.57181143799582
1577156400,27929,27940,27929,27940,27892.5,NaN,NaN,NaN,NaN,27934.5,7,4.75,12.49708786751389
1577156700,27945,27945,27935,27935,27898.2,NaN,NaN,NaN,NaN,27940,5,4.95,12.599342624517181
1577157600,27950,27950,27950,27950,27904.752,NaN,NaN,NaN,NaN,27950,1,4.55,12.86900690523241
1577157900,27943,27943,27943,27943,27911.99168,NaN,NaN,NaN,NaN,27943,1,4.5,12.777887452403169
1577158500,27933,27933,27933,27933,27918.0730112,NaN,NaN,NaN,NaN,27933,2,4.5,12.219398243574595
1577158800,27937,27937,27937,27937,27923.181329408,NaN,NaN,NaN,NaN,27937,1,3.9,11.870313731839161
1577159100,27940,27940,27940,27940,27927.47231670272,NaN,NaN,NaN,NaN,27940,1,3.7,11.677019989781698
1577159700,27920,27931,27920,27931,27950,NaN,NaN,27950,27950,27925.5,2,3.75,11.15752695777868
1577160000,27918,27925,27918,27925,27947,NaN,NaN,NaN,NaN,27921.5,6,3.55,10.765332360204171
1577161200,27948,27948,27948,27948,27918,27918,27918,NaN,NaN,27948,30,4.35,10.65269669503198
1577161500,27930,27930,27930,27930,27918,NaN,NaN,NaN,NaN,27930,1,4.3,10.061678539743697
1577409000,27939,27939,27939,27939,27921,NaN,NaN,NaN,NaN,27939,2,4.2,9.567721461064242
1577409300,28100,28150,28100,28130,27923.7,NaN,NaN,NaN,NaN,28120,32,5.65,13.098825155516655
1577409600,28122,28148,28122,28145,27939,NaN,NaN,NaN,NaN,28134.25,21,6.6,16.377707157508183
1577409900,28140,28140,28129,28129,27964.32,NaN,NaN,NaN,NaN,28134.5,3,6.5,19.4223833022146
1577410200,28115,28229,28110,28229,27986.601599999998,NaN,NaN,NaN,NaN,28170.75,22,7.35,22.931961041922495
1577410500,28225,28230,28190,28190,28020.537376,NaN,NaN,NaN,NaN,28208.75,13,7.9,26.197169727455027
1577410800,28190,28250,28181,28242,28054.05139584,NaN,NaN,NaN,NaN,28215.75,41,9.65,29.35703862243332
1577411100,28237,28278,28234,28272,28089.3221445888,NaN,NaN,NaN,NaN,28255.25,21,10.65,32.45859851979679
