time,open,high,low,close,PSAR,Long Start,Buy Label,Short Start,Sell Label,,Volume,Volume MA,PSAR,Long Start,Buy Label,Short Start,Sell Label,,PSAR,Long Start,Buy Label,Short Start,Sell Label,,ADX,RSI
1584930900,21400,21433,21400,21400,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,21341,NaN,NaN,NaN,NaN,21408.25,21341,NaN,NaN,NaN,NaN,21408.25,NaN,37.22755832079672
1584931200,21355,21424,21355,21402,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,21453,NaN,NaN,21453,21453,21384,21453,NaN,NaN,21453,21453,21384,NaN,37.32841363816422
1584931500,21430,21432,21426,21426,NaN,NaN,NaN,NaN,NaN,NaN,3,11.3,21433.4,NaN,NaN,NaN,NaN,21428.5,21433.4,NaN,NaN,NaN,NaN,21428.5,NaN,38.60321160490583
1584931800,21398,21430,21398,21407,NaN,NaN,NaN,NaN,NaN,NaN,5,11.35,21355,21355,21355,NaN,NaN,21408.25,21355,21355,21355,NaN,NaN,21408.25,NaN,37.94516870890809
1584932100,21368,21414,21368,21414,NaN,NaN,NaN,NaN,NaN,NaN,4,9.75,21432,NaN,NaN,21432,21432,21391,21432,NaN,NaN,21432,21432,21391,NaN,38.36204587253116
1584932400,21457,21568,21457,21568,NaN,NaN,NaN,NaN,NaN,NaN,8,9.5,21368,21368,21368,NaN,NaN,21512.5,21368,21368,21368,NaN,NaN,21512.5,NaN,46.825426708976124
1584932700,21570,21570,21560,21560,NaN,NaN,NaN,NaN,NaN,NaN,2,9.25,21368,NaN,NaN,NaN,NaN,21565,21368,NaN,NaN,NaN,NaN,21565,NaN,46.468476164339044
1584933000,21488,21520,21488,21502,NaN,NaN,NaN,NaN,NaN,NaN,5,8.4,21414.46,NaN,NaN,NaN,NaN,21499.5,21416.48,NaN,NaN,NaN,NaN,21499.5,NaN,43.85812431737958
1584933300,21490,21520,21490,21520,NaN,NaN,NaN,NaN,NaN,NaN,2,7.4,21450.2342,NaN,NaN,NaN,NaN,21505,21453.3248,NaN,NaN,NaN,NaN,21505,NaN,44.892739004322166
1584933600,21536,21568,21536,21559,NaN,NaN,NaN,NaN,NaN,NaN,9,7.3,21477.780334,NaN,NaN,NaN,NaN,21549.75,21481.326848,NaN,NaN,NaN,NaN,21549.75,NaN,47.16465893534921
1584933900,21598,21666,21594,21666,NaN,NaN,NaN,NaN,NaN,NaN,7,7.1,21490,NaN,NaN,NaN,NaN,21631,21490,NaN,NaN,NaN,NaN,21631,31.531329071461002,52.90176268176663
1584934200,21646,21671,21630,21654,NaN,NaN,NaN,NaN,NaN,NaN,38,8.25,21535.76,NaN,NaN,NaN,NaN,21650.25,21536,NaN,NaN,NaN,NaN,21650.25,29.88715354112269,52.21696549137356
1584934500,21630,21630,21630,21630,NaN,NaN,NaN,NaN,NaN,NaN,1,7.55,21574.9796,NaN,NaN,NaN,NaN,21630,21576.5,NaN,NaN,NaN,NaN,21630,28.360419120094253,50.80059996609246
1584935100,21560,21563,21560,21563,NaN,NaN,NaN,NaN,NaN,NaN,2,7.4,21671,NaN,NaN,21671,21671,21561.5,21671,NaN,NaN,21671,21671,21561.5,27.46944501246479,46.97027953786634
1584935400,21610,21659,21610,21654,NaN,NaN,NaN,NaN,NaN,NaN,5,7.5,21560,21560,21560,NaN,NaN,21633.25,21560,21560,21560,NaN,NaN,21633.25,25.761558570728273,52.237752259398775
