time,open,high,low,close,PSAR,Long Start,Buy Label,Short Start,Sell Label,,Volume,Volume MA,PSAR,Long Start,Buy Label,Short Start,Sell Label,,PSAR,Long Start,Buy Label,Short Start,Sell Label,,ADX,RSI
1593197100,24131,24131,24131,24131,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,24131,NaN,NaN,NaN,NaN,NaN,24131,NaN,NaN
1593393300,24250,24327,24250,24293,NaN,NaN,NaN,NaN,NaN,NaN,21,NaN,24131,24131,24131,NaN,NaN,24280,24131,24131,24131,NaN,NaN,24280,NaN,NaN
1593393600,24304,24304,24250,24263,NaN,NaN,NaN,NaN,NaN,NaN,24,NaN,24131,NaN,NaN,NaN,NaN,24280.25,24131,NaN,NaN,NaN,NaN,24280.25,NaN,NaN
1593393900,24273,24307,24268,24307,NaN,NaN,NaN,NaN,NaN,NaN,13,NaN,24170.2,NaN,NaN,NaN,NaN,24288.75,24170.2,NaN,NaN,NaN,NaN,24288.75,NaN,NaN
1593394200,24293,24325,24175,24179,NaN,NaN,NaN,NaN,NaN,NaN,54,NaN,24327,NaN,NaN,24327,24327,24243,24327,NaN,NaN,24327,24327,24243,NaN,NaN
1593394500,24165,24165,24075,24117,NaN,NaN,NaN,NaN,NaN,NaN,21,NaN,24325,NaN,NaN,NaN,NaN,24130.5,24325,NaN,NaN,NaN,NaN,24130.5,NaN,NaN
1593394800,24108,24189,24108,24189,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,24325,NaN,NaN,NaN,NaN,24148.5,24325,NaN,NaN,NaN,NaN,24148.5,NaN,NaN
1593395100,24213,24214,24170,24170,NaN,NaN,NaN,NaN,NaN,NaN,13,NaN,24267.5,NaN,NaN,NaN,NaN,24191.75,24265,NaN,NaN,NaN,NaN,24191.75,NaN,NaN
1593395400,24203,24203,24175,24175,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,24223.225,NaN,NaN,NaN,NaN,24189,24219.4,NaN,NaN,NaN,NaN,24189,NaN,NaN
1593395700,24160,24190,24160,24190,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,24075,24075,24075,NaN,NaN,24175,24075,24075,24075,NaN,NaN,24175,NaN,NaN
1593396000,24177,24177,24100,24100,NaN,NaN,NaN,NaN,NaN,NaN,14,NaN,24098,NaN,NaN,NaN,NaN,24138.5,24098,NaN,NaN,NaN,NaN,24138.5,NaN,NaN
1593396300,24106,24134,24106,24134,NaN,NaN,NaN,NaN,NaN,NaN,7,NaN,24190,NaN,NaN,24190,24190,24120,24190,NaN,NaN,24190,24190,24120,NaN,NaN
1593396600,24160,24201,24160,24201,NaN,NaN,NaN,NaN,NaN,NaN,17,NaN,24100,24100,24100,NaN,NaN,24180.5,24100,24100,24100,NaN,NaN,24180.5,NaN,NaN
1593396900,24166,24166,24160,24160,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,24106,NaN,NaN,NaN,NaN,24163,24106,NaN,NaN,NaN,NaN,24163,NaN,NaN
1593397200,24162,24162,24146,24146,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,24125,NaN,NaN,NaN,NaN,24154,24125,NaN,NaN,NaN,NaN,24154,NaN,50.95785440613027
1593397500,24126,24155,24126,24153,NaN,NaN,NaN,NaN,NaN,NaN,12,NaN,24201,NaN,NaN,24201,24201,24140,24201,NaN,NaN,24201,24201,24140,NaN,51.42551328208622
1593397800,24149,24149,24120,24120,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,24186,NaN,NaN,NaN,NaN,24134.5,24186,NaN,NaN,NaN,NaN,24134.5,NaN,49.050824950560084
1593398100,24121,24145,24121,24145,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,24170.82,NaN,NaN,NaN,NaN,24133,24170.16,NaN,NaN,NaN,NaN,24133,NaN,50.90058359446985
1593398400,24130,24140,24115,24115,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,24159.1314,NaN,NaN,NaN,NaN,24125,24158.1216,NaN,NaN,NaN,NaN,24125,NaN,48.619434147869605
