time,open,high,low,close
1601907600,23802,23802,23802,23802
1601907900,23822,23822,23822,23822
1601908200,23824,23825,23824,23825
1601908500,23816,23816,23816,23816
1601908800,23820,23820,23820,23820
1601909700,23845,23845,23845,23845
1601913300,23825,23825,23825,23825
1601919900,23800,23800,23800,23800
1601920800,23785,23785,23785,23785
1601946900,23900,23900,23900,23900
1601947200,23882,23882,23870,23870
1601947500,23853,23853,23847,23847
1601947800,23833,23833,23780,23797
1601948100,23790,23790,23790,23790
1601948400,23838,23845,23831,23831
1601948700,23834,23881,23834,23875
1601949000,23870,23870,23870,23870
1601949300,23868,23868,23868,23868
1601949600,23875,23885,23875,23885
1601949900,23905,23905,23905,23905
1601950200,23895,23895,23882,23882
1601950500,23921,23921,23917,23917
1601950800,23940,23940,23940,23940
1601951100,23933,23958,23923,23958
1601951400,23938,23943,23933,23943
1601951700,23901,23901,23901,23901
1601952000,23873,23887,23873,23887
1601952900,23867,23867,23850,23860
1601953200,23843,23843,23843,23843
1601953800,23867,23867,23867,23867
1601954100,23873,23890,23873,23890
1601954400,23894,23902,23894,23902
1601954700,23896,23896,23896,23896
1601955300,23919,23919,23918,23918
1601960400,23900,23900,23900,23900
1601960700,23899,23899,23874,23874
1601961000,23885,23885,23885,23885
1601961600,23882,23882,23882,23882
1601963100,23913,23913,23913,23913
1601963700,23922,23922,23922,23922
1601964300,23920,23932,23920,23932
1601965200,23935,23950,23935,23950
1601966100,23920,23920,23920,23920
1601966400,23920,23920,23920,23920
1601967600,23915,23915,23915,23915
1601968500,23852,23884,23852,23884
1601969400,23899,23899,23899,23899
1601970000,23908,23908,23908,23908
1601970600,23908,23908,23905,23905
1601970900,23915,23926,23915,23926
1601971500,23912,23940,23912,23940
1601971800,23940,23940,23940,23940
1601972700,23930,23930,23930,23930
1601976900,23932,23932,23932,23932
1601977200,23926,23926,23926,23926
1601977800,23945,23945,23945,23945
1601978400,23927,23927,23927,23927
1601980200,23940,23940,23940,23940
1601981700,23936,23936,23921,23935
1601983500,23964,23964,23964,23964
1601983800,23979,23979,23979,23979
1601984100,23992,23993,23992,23993
1601984400,23990,23990,23990,23990
1601985000,23991,23991,23991,23991
1601987400,24000,24017,24000,24017
1601989200,24010,24010,24010,24010
1601990100,24000,24000,24000,24000
1601990700,24008,24008,24008,24008
1601991000,24003,24003,24003,24003
1601991300,24018,24018,24003,24003
1601991900,23985,23985,23966,23966
1601992200,23981,23983,23981,23983
1601992500,23976,23976,23976,23976
1601992800,23990,23997,23990,23996
1601993100,24016,24016,24016,24016
1601995200,24064,24064,24013,24013
1601995500,24023,24023,24022,24022
1601995800,24032,24032,24032,24032
1601996100,24022,24022,24022,24022
1601996700,24021,24021,24021,24021
1601997600,24027,24030,24018,24018
1601997900,24012,24013,24012,24013
1601998500,24028,24028,24028,24028
1601999100,24025,24025,24025,24025
1601999400,24004,24004,23994,23994
1602002400,24010,24010,24010,24010
1602003000,24023,24023,24023,24023
1602004800,24038,24038,24038,24038
1602006000,24038,24038,24029,24029
1602006900,24036,24036,24036,24036
1602009600,24071,24079,24070,24079
1602009900,24025,24025,24025,24025
1602010200,24010,24010,23950,23950
1602010500,23945,23982,23945,23977
1602033300,23860,23908,23860,23908
1602033600,23920,23927,23920,23927
1602033900,23936,23936,23936,23936
1602034200,23920,23920,23895,23903
1602034500,23871,23890,23871,23890
1602035100,23889,23917,23889,23917
1602035400,23944,23970,23944,23957
1602035700,23976,24091,23976,24077
1602036000,24110,24120,24100,24120
1602036300,24095,24095,24086,24091
1602036600,24104,24110,24104,24110
1602037200,24125,24125,24125,24125
1602037500,24134,24162,24134,24162
1602037800,24100,24101,24100,24100
1602038100,24100,24111,24100,24111
1602038400,24100,24100,24080,24080
1602038700,24092,24092,24081,24082
1602039300,24075,24075,24050,24050
1602039900,24047,24047,24047,24047
1602040200,24070,24070,24050,24050
1602041700,24075,24075,24075,24075
1602042000,24076,24076,24076,24076
1602042300,24077,24077,24077,24077
1602042600,24093,24093,24080,24080
1602042900,24078,24078,24075,24077
1602046800,24092,24104,24092,24104
1602047700,24118,24118,24118,24118
1602049200,24180,24207,24180,24195
1602049500,24170,24170,24161,24161
1602050100,24151,24151,24151,24151
1602051000,24155,24155,24155,24155
1602051300,24168,24200,24168,24200
1602052200,24173,24173,24173,24173
1602053400,24180,24180,24180,24180
1602056100,24170,24170,24165,24170
1602056400,24168,24168,24167,24167
1602057000,24200,24200,24200,24200
1602057300,24222,24228,24216,24225
1602057600,24217,24217,24217,24217
1602057900,24215,24238,24215,24238
1602058200,24226,24226,24215,24215
1602058500,24210,24210,24205,24205
1602058800,24200,24200,24185,24186
1602059100,24178,24178,24145,24145
1602062100,24185,24185,24185,24185
1602062700,24163,24163,24163,24163
1602065100,24166,24166,24166,24166
1602066900,24165,24165,24165,24165
1602069000,24180,24180,24180,24180
1602071100,24178,24178,24178,24178
1602071400,24178,24178,24178,24178
1602071700,24184,24195,24184,24195
1602072000,24191,24191,24191,24191
1602072600,24200,24200,24200,24200
1602072900,24202,24210,24202,24210
1602074400,24215,24215,24215,24215
1602074700,24220,24220,24220,24220
1602075300,24225,24225,24218,24218
1602075600,24214,24214,24214,24214
1602076200,24230,24230,24230,24230
1602076500,24221,24221,24221,24221
1602077400,24216,24241,24215,24240
1602078600,24231,24245,24231,24245
1602078900,24245,24245,24245,24245
1602079200,24228,24228,24228,24228
1602080100,24210,24210,24210,24210
1602080700,24210,24210,24210,24210
1602081300,24229,24229,24229,24229
1602082800,24240,24240,24240,24240
1602083100,24250,24251,24250,24251
1602083700,24255,24255,24255,24255
1602084300,24260,24265,24260,24265
1602085800,24245,24245,24245,24245
1602086700,24238,24238,24238,24238
1602087000,24244,24244,24244,24244
1602087900,24212,24212,24193,24193
1602088200,24160,24174,24160,24174
1602088500,24181,24181,24181,24181
1602119700,24160,24160,24133,24133
1602120000,24126,24144,24100,24100
1602120300,24096,24106,24090,24106
1602120600,24096,24096,24036,24048
1602120900,24088,24135,24075,24075
1602121200,24050,24053,24020,24053
1602121500,24052,24052,24000,24000
1602121800,24025,24067,24014,24063
1602122100,24054,24079,24054,24079
1602122400,24075,24075,24045,24045
1602122700,24012,24012,24012,24012
1602123000,24014,24014,24014,24014
1602123300,24010,24031,24000,24031
1602123600,24021,24021,24021,24021
1602124200,24040,24040,24026,24026
1602125400,23980,23980,23980,23980
1602126600,24026,24026,24020,24020
1602126900,24024,24024,24024,24024
1602127200,24000,24020,24000,24020
1602127800,24020,24020,24020,24020
1602128100,24038,24038,24038,24038
1602128400,24042,24042,24042,24042
1602128700,24048,24048,24048,24048
1602129000,24036,24036,24025,24025
1602129300,24020,24020,23985,23985
1602134400,24050,24050,24050,24050
1602136200,24005,24005,24005,24005
1602136800,24024,24025,24024,24025
1602138600,24065,24065,24065,24065
1602138900,24087,24092,24087,24092
1602140100,24074,24074,24074,24074
1602140400,24075,24075,24070,24070
1602140700,24083,24105,24083,24104
1602141300,24114,24114,24110,24110
1602141600,24120,24120,24110,24110
1602142500,24129,24137,24128,24128
1602143100,24120,24120,24120,24120
1602143400,24120,24125,24120,24125
