time,open,high,low,close,PSAR,Long Start,Buy Label,Short Start,Sell Label,,Volume,Volume MA
1574143200,27075,27083,27075,27078,27034.26352822477,NaN,NaN,NaN,NaN,27077.75,4,3.8
1574148600,27188,27188,27188,27188,27043.8866342733,NaN,NaN,NaN,NaN,27188,1,2.25
1574148900,27168,27168,27168,27168,27066.944772789575,NaN,NaN,NaN,NaN,27168,1,2.15
1574149500,27163,27163,27163,27163,27086.313609143243,NaN,NaN,NaN,NaN,27163,1,2.05
1574149800,27163,27163,27163,27163,27102.583431680323,NaN,NaN,NaN,NaN,27163,1,2
1574151300,27144,27144,27144,27144,27116.25008261147,NaN,NaN,NaN,NaN,27144,5,2.15
1574151600,27192,27192,27140,27140,27127.730069393634,NaN,NaN,NaN,NaN,27166,2,2.2
1574154900,27167,27167,27167,27167,27139.29865690278,NaN,NaN,NaN,NaN,27167,1,2.1
1574167200,27151,27151,27151,27151,27140,NaN,NaN,NaN,NaN,27151,1,2.05
1574171400,27119,27119,27119,27119,27192,NaN,NaN,27192,27192,27119,1,2.05
1574174400,27052,27052,27043,27043,27184.7,NaN,NaN,NaN,NaN,27047.5,4,2.2
1574174700,27045,27045,27045,27045,27167.696,NaN,NaN,NaN,NaN,27045,1,2.2
1574175600,27044,27044,27044,27044,27152.73248,NaN,NaN,NaN,NaN,27044,1,2.2
1574176200,27031,27031,27028,27028,27139.5645824,NaN,NaN,NaN,NaN,27029.5,2,2.2
1574180100,26995,26995,26995,26995,27123.945540864,NaN,NaN,NaN,NaN,26995,1,2.2
1574181900,27006,27006,27006,27006,27103.31425432576,NaN,NaN,NaN,NaN,27006,1,2.2
1574212500,26945,26945,26945,26945,27085.98397363364,NaN,NaN,NaN,NaN,26945,1,2
1574212800,26924,26924,26919,26919,27060.606858379586,NaN,NaN,NaN,NaN,26921.5,6,2.1
1574213100,26911,26911,26911,26911,27032.28548670367,NaN,NaN,NaN,NaN,26911,1,1.9
1574213400,26929,26929,26928,26928,27008.028389362935,NaN,NaN,NaN,NaN,26928.5,4,2
1574213700,26955,26955,26940,26941,26988.62271149035,NaN,NaN,NaN,NaN,26947.75,8,2.2
1574214000,26959,26959,26880,26880,26973.09816919228,NaN,NaN,NaN,NaN,26919.5,4,2.35
1574214600,26900,26900,26900,26900,26959,NaN,NaN,NaN,NaN,26900,2,2.4
1574214900,26940,26940,26940,26940,26959,NaN,NaN,NaN,NaN,26940,1,2.4
1574215800,26947,26970,26946,26970,26880,26880,26880,NaN,NaN,26958.25,8,2.75
1574217000,27002,27039,27002,27039,26889,NaN,NaN,NaN,NaN,27020.5,2,2.6
1574217300,27000,27000,26985,26985,26907,NaN,NaN,NaN,NaN,26992.5,2,2.6
1574217600,26954,26966,26942,26966,26922.84,NaN,NaN,NaN,NaN,26957,17,3.4
1574217900,26975,26985,26975,26985,26936.7792,NaN,NaN,NaN,NaN,26980,2,3.45
1574219700,26997,26997,26997,26997,26942,NaN,NaN,NaN,NaN,26997,1,3.45
1574220000,26997,27003,26997,27002,26953.64,NaN,NaN,NaN,NaN,26999.75,5,3.5
1574220600,27011,27011,27011,27011,26963.8832,NaN,NaN,NaN,NaN,27011,1,3.5
1574220900,27001,27001,26995,26995,26972.897216,NaN,NaN,NaN,NaN,26998,2,3.55
1574221200,27009,27011,27009,27011,26980.82955008,NaN,NaN,NaN,NaN,27010,2,3.55
1574221500,27002,27007,27002,27007,26987.8100040704,NaN,NaN,NaN,NaN,27004.5,4,3.7
1574222100,26995,26995,26995,26995,26993.952803581953,NaN,NaN,NaN,NaN,26995,4,3.85
1574226300,27035,27035,27035,27035,26995,NaN,NaN,NaN,NaN,27035,1,3.85
1574226900,26996,26996,26996,26996,27039,NaN,NaN,27039,27039,26996,1,3.6
1574231400,26950,26950,26944,26944,27035,NaN,NaN,NaN,NaN,26947,2,3.65
1574232000,26955,26955,26955,26955,27024.08,NaN,NaN,NaN,NaN,26955,2,3.55
