time,open,high,low,close,MA,MA,Volume,Volume MA,HKEX:HSI2!: Compare,HKEX:HSI1!: Compare,ParabolicSAR,SAR,Plot,ADX,+DI,-DI
1577935800,28490,28492,28485,28492,28542.578755802264,28559.777777777777,11,11.95,NaN,NaN,28800,NaN,NaN,NaN,41.57652527182167,19.4438915156406
1577936700,28490,28490,28485,28485,28531.063004641812,28553.444444444445,10,10.15,NaN,NaN,28787.4,NaN,NaN,NaN,41.35737864477576,19.341404277603242
1577941500,28490,28490,28480,28480,28520.850403713448,28546.555555555555,18,10.9,NaN,NaN,28775.304,NaN,0.10299797131896604,NaN,41.03214967385717,19.582499430713572
1577941800,28488,28488,28475,28475,28511.68032297076,28536,14,10.2,NaN,NaN,28757.58576,NaN,0.09882602295651688,30.448239435524876,40.595300291291544,19.783495396306446
1577942100,28470,28473,28430,28430,28495.34425837661,28522.88888888889,15,9.8,NaN,NaN,28734.978899200003,NaN,0.09133588046891516,30.243366422236825,39.07929830866155,22.77912245525777
1577942400,28450,28450,28449,28450,28486.275406701287,28514.88888888889,3,9.55,NaN,NaN,28704.481009280003,NaN,0.08147812835046564,30.048737059613178,38.40826727967486,22.38798191174455
1577942700,28450,28450,28445,28445,28478.02032536103,28505.222222222223,2,9.4,NaN,NaN,28677.032908352005,NaN,0.06952631577569368,29.826497067747418,38.23549305850422,22.647141521387613
1577943000,28456,28458,28456,28458,28474.016260288823,28467.222222222223,6,9.65,NaN,NaN,28652.329617516803,NaN,0.056090956940477166,29.661089067828357,38.518893898890276,22.37171657091302
1577943300,28483,28483,28483,28483,28475.81300823106,28466.444444444445,1,9.6,NaN,NaN,28630.096655765123,NaN,0.04161004599915863,29.646725221826273,39.99610439195765,21.834189897073855
1577943600,28496,28496,28496,28496,28479.850406584846,28466.88888888889,1,9.5,NaN,NaN,28610.08699018861,NaN,0.02673139889018572,29.706628113674178,40.77501108929484,21.55076168679806
1577943900,28496,28496,28496,28496,28483.080325267878,28468.11111111111,1,8.45,NaN,NaN,28592.07829116975,NaN,0.011839115831477343,29.763535860929686,40.775011089294836,21.55076168679806
1577944500,28528,28528,28528,28528,28492.0642602143,28473.444444444445,2,7.65,NaN,NaN,28575.870462052775,NaN,-0.0026303698736451775,30.00346305444155,42.800174672697985,20.813846094825465
1577945100,28550,28550,28550,28550,28503.65140817144,28481.777777777777,1,6.85,NaN,NaN,28561.283415847498,NaN,-0.015901867212461118,30.353905443233288,44.18145780469217,20.311225424951097
1577946000,28551,28560,28544,28560,28514.921126537152,28496.222222222223,3,6.85,NaN,NaN,28430,NaN,-0.027893651084119342,30.742255751658416,44.513962059844985,19.9425514983275
1577946300,28564,28564,28549,28549,28521.73690122972,28507.222222222223,3,6.9,NaN,NaN,28432.6,NaN,-0.038647540881716624,31.133948073510076,44.19989963976382,19.591618438265524
1577946600,28548,28548,28540,28542,28525.789520983777,28518,7,6.55,NaN,NaN,28437.856,NaN,-0.04799707299254108,31.387406442547224,43.71406065921976,20.47545587779684
1577947200,28549,28549,28549,28549,28530.43161678702,28528.11111111111,1,6.55,NaN,NaN,28442.90176,NaN,-0.056010333323979755,31.634567791529683,43.4515916425978,20.29283695993708
