time,open,high,low,close,PSAR,Long Start,Buy Label,Short Start,Sell Label,,Volume,Volume MA
1583152200,25960,25971,25955,25961,25878.807999999997,NaN,NaN,NaN,NaN,25961.75,5,3.3
1583152500,25970,26000,25970,26000,25891.714879999996,NaN,NaN,NaN,NaN,25985,3,3.35
1583152800,25977,25977,25977,25977,25909.040499199997,NaN,NaN,NaN,NaN,25977,1,3.25
1583153700,26010,26040,26010,26040,25923.594019327997,NaN,NaN,NaN,NaN,26025,8,3.6
1583154600,26010,26010,26010,26010,25944.547095848957,NaN,NaN,NaN,NaN,26010,1,3.55
1583155200,26000,26000,26000,26000,25961.728618596146,NaN,NaN,NaN,NaN,26000,1,3.55
1583155800,25956,25956,25956,25956,26040,NaN,NaN,26040,26040,25956,2,3.6
1583156100,25995,25995,25995,25995,26031.6,NaN,NaN,NaN,NaN,25995,2,3.65
1583156400,25981,25981,25981,25981,26024.039999999997,NaN,NaN,NaN,NaN,25981,1,3.6
1583156700,25969,25969,25969,25969,26017.235999999997,NaN,NaN,NaN,NaN,25969,1,3.6
1583157000,25989,26015,25989,26003,25956,25956,25956,NaN,NaN,25999,6,3.65
1583157300,26025,26060,26025,26060,25961.9,NaN,NaN,NaN,NaN,26042.5,14,4.3
1583157600,26065,26090,26065,26082,25973.672000000002,NaN,NaN,NaN,NaN,26075.5,15,5
1583158500,26029,26029,26029,26029,25989.95792,NaN,NaN,NaN,NaN,26029,1,4.95
1583159400,26122,26123,26090,26090,26003.9638112,NaN,NaN,NaN,NaN,26106.25,4,4.7
1583159700,26020,26046,26020,26046,26123,NaN,NaN,26123,26123,26033,2,4.7
1583160000,26065,26075,26065,26075,26123,NaN,NaN,NaN,NaN,26070,5,4.8
1583160300,26085,26115,26078,26078,26020,26020,26020,NaN,NaN,26089,10,4.6
1583160600,26065,26100,26058,26100,26029.5,NaN,NaN,NaN,NaN,26080.75,4,4.5
1583160900,26060,26060,26060,26060,26038.05,NaN,NaN,NaN,NaN,26060,1,4.35
1583161500,25969,25980,25969,25980,26115,NaN,NaN,26115,26115,25974.5,2,4.2
1583161800,26021,26064,26021,26064,26100.4,NaN,NaN,NaN,NaN,26042.5,2,4.15
1583162100,26039,26039,26039,26039,26087.260000000002,NaN,NaN,NaN,NaN,26039,1,4.15
1583162400,26012,26012,25988,25988,26075.434,NaN,NaN,NaN,NaN,26000,2,3.85
1583163900,26078,26078,26078,26078,25969,25969,25969,NaN,NaN,26078,1,3.85
1583164200,26092,26120,26092,26119,25979.9,NaN,NaN,NaN,NaN,26105.75,4,4
1583164500,26097,26097,26073,26073,25996.712,NaN,NaN,NaN,NaN,26085,2,4
1583164800,26085,26085,26049,26049,26011.506559999998,NaN,NaN,NaN,NaN,26067,2,4
1583165400,26075,26153,26075,26153,26024.5257728,NaN,NaN,NaN,NaN,26114,10,4.45
1583165700,26155,26166,26151,26151,26042.512164608,NaN,NaN,NaN,NaN,26155.75,12,5
1583166000,26168,26168,26168,26168,26062.27021827072,NaN,NaN,NaN,NaN,26168,2,4.8
1583166300,26146,26170,26146,26170,26081.30157898199,NaN,NaN,NaN,NaN,26158,2,4.2
1583166900,26152,26218,26152,26218,26099.041263185594,NaN,NaN,NaN,NaN,26185,15,4.2
1583167800,26247,26247,26245,26245,26122.833010548475,NaN,NaN,NaN,NaN,26246,2,4.25
1583168400,26266,26266,26266,26266,26147.66640843878,NaN,NaN,NaN,NaN,26266,2,4.15
1583169300,26210,26210,26210,26210,26171.333126751026,NaN,NaN,NaN,NaN,26210,1,4.1
1583172000,26240,26240,26240,26240,26190.26650140082,NaN,NaN,NaN,NaN,26240,1,3.9
1583172300,26230,26230,26230,26230,26205.413201120657,NaN,NaN,NaN,NaN,26230,1,3.45
1583172900,26195,26195,26185,26185,26266,NaN,NaN,26266,26266,26190,2,3.35
1583173500,26177,26177,26164,26164,26257.9,NaN,NaN,NaN,NaN,26170.5,2,3.4
1583174100,26205,26205,26205,26205,26246.632,NaN,NaN,NaN,NaN,26205,1,3.35
1583174400,26201,26201,26201,26201,26236.71616,NaN,NaN,NaN,NaN,26201,1,3.3
1583174700,26218,26218,26195,26195,26227.9902208,NaN,NaN,NaN,NaN,26206.5,22,4.35
1583175000,26175,26175,26175,26175,26220.311394303997,NaN,NaN,NaN,NaN,26175,1,4.3
1583175300,26239,26239,26237,26237,26164,26164,26164,NaN,NaN,26238,2,4.35
1583198100,26542,26542,26431,26460,26171.5,NaN,NaN,NaN,NaN,26493.75,119,10.1
1583198400,26406,26444,26406,26443,26215.96,NaN,NaN,NaN,NaN,26424.75,9,10.45
1583198700,26488,26528,26488,26524,26255.0848,NaN,NaN,NaN,NaN,26507,26,11.65
1583199000,26530,26535,26421,26486,26289.514624,NaN,NaN,NaN,NaN,26493,8,11.55
1583199300,26484,26511,26484,26497,26319.81286912,NaN,NaN,NaN,NaN,26494,11,11.5
1583199600,26487,26500,26450,26450,26346.4753248256,NaN,NaN,NaN,NaN,26471.75,11,11.95
1583199900,26461,26461,26407,26407,26369.938285846525,NaN,NaN,NaN,NaN,26434,14,12.55
1583200200,26407,26407,26400,26400,26390.58569154494,NaN,NaN,NaN,NaN,26403.5,9,12.25
1583200800,26390,26390,26390,26390,26542,NaN,NaN,26542,26542,26390,1,12.2
1583201100,26430,26431,26430,26431,26526.8,NaN,NaN,NaN,NaN,26430.5,21,13.15
1583201400,26405,26405,26377,26377,26513.12,NaN,NaN,NaN,NaN,26391,2,13.2
1583202000,26360,26375,26360,26375,26496.7856,NaN,NaN,NaN,NaN,26367.5,13,13.8
1583202300,26366,26386,26366,26386,26477.635616,NaN,NaN,NaN,NaN,26376,10,14.25
1583202600,26414,26415,26414,26415,26461.16662976,NaN,NaN,NaN,NaN,26414.5,3,14.3
1583202900,26420,26445,26420,26445,26447.0033015936,NaN,NaN,NaN,NaN,26432.5,27,15.55
1583203200,26450,26456,26430,26456,26360,26360,26360,NaN,NaN,26448,12,16.1
1583203500,26448,26484,26448,26484,26369.6,NaN,NaN,NaN,NaN,26466,9,16.5
1583203800,26500,26500,26474,26478,26383.327999999998,NaN,NaN,NaN,NaN,26488,8,15.8
1583204100,26439,26445,26433,26443,26399.66208,NaN,NaN,NaN,NaN,26440,23,16.9
1583204400,26439,26439,26439,26439,26413.709388799998,NaN,NaN,NaN,NaN,26439,1,16.85
1583204700,26476,26476,26476,26476,26425.790074368,NaN,NaN,NaN,NaN,26476,1,10.95
1583205000,26457,26457,26457,26457,26436.17946395648,NaN,NaN,NaN,NaN,26457,1,10.55
1583205300,26440,26440,26440,26440,26500,NaN,NaN,26500,26500,26440,2,9.35
1583205600,26419,26440,26419,26440,26494,NaN,NaN,NaN,NaN,26429.5,3,9.1
1583205900,26456,26468,26435,26468,26485,NaN,NaN,NaN,NaN,26456.75,11,9.1
1583206200,26490,26490,26483,26483,26419,26419,26419,NaN,NaN,26486.5,9,9
1583206800,26490,26490,26489,26489,26426.1,NaN,NaN,NaN,NaN,26489.5,3,8.45
1583207100,26488,26488,26472,26472,26432.489999999998,NaN,NaN,NaN,NaN,26480,4,8.2
1583211600,26400,26421,26375,26375,26490,NaN,NaN,26490,26490,26392.75,67,11.5
1583211900,26370,26370,26370,26370,26488,NaN,NaN,NaN,NaN,26370,1,10.5
1583212200,26350,26362,26350,26360,26473.84,NaN,NaN,NaN,NaN,26355.5,10,10.9
1583212500,26372,26372,26333,26333,26456.5024,NaN,NaN,NaN,NaN,26352.5,10,10.75
1583212800,26319,26319,26313,26313,26436.742016,NaN,NaN,NaN,NaN,26316,2,10.35
1583213100,26333,26337,26333,26337,26414.46845312,NaN,NaN,NaN,NaN,26335,2,10.3
1583213400,26312,26312,26310,26310,26396.2041315584,NaN,NaN,NaN,NaN,26311,4,9.15
1583213700,26332,26350,26332,26350,26378.963305246718,NaN,NaN,NaN,NaN,26341,4,8.75
1583214000,26346,26346,26346,26346,26365.170644197373,NaN,NaN,NaN,NaN,26346,2,8.4
