time,open,high,low,close,PSAR,Long Start,Buy Label,Short Start,Sell Label,,Volume,Volume MA,ADX
1582531500,26400,26400,26400,26400,26459.7,NaN,NaN,NaN,NaN,26400,1,3,36.91639886154059
1582531800,26406,26415,26393,26393,26452.536,NaN,NaN,NaN,NaN,26401.75,22,4.05,36.28905118247055
1582532100,26388,26403,26388,26403,26444.20096,NaN,NaN,NaN,NaN,26395.5,12,4.6,35.801363577681414
1582532400,26394,26394,26377,26377,26435.208806399998,NaN,NaN,NaN,NaN,26385.5,3,4.55,35.55982820088391
1582532700,26382,26382,26350,26350,26424.731221248,NaN,NaN,NaN,NaN,26366,6,4.8,35.81729598413633
1582535700,26230,26230,26201,26201,26409.7849769984,NaN,NaN,NaN,NaN,26215.5,2,4.5,37.67416057086813
1582536000,26160,26166,26160,26160,26382,NaN,NaN,NaN,NaN,26161.5,4,4.55,39.66941527778093
1582536300,26160,26160,26160,26160,26337.6,NaN,NaN,NaN,NaN,26160,1,4.55,41.522151791342814
1582536600,26128,26128,26128,26128,26302.079999999998,NaN,NaN,NaN,NaN,26128,1,4.55,43.445266394907364
1582536900,26124,26124,26124,26124,26267.264,NaN,NaN,NaN,NaN,26124,1,4.55,45.255777502506476
1582537500,26166,26166,26166,26166,26238.6112,NaN,NaN,NaN,NaN,26166,1,4.15,45.60468270693972
1582538100,26180,26192,26180,26192,26215.68896,NaN,NaN,NaN,NaN,26186,2,4.15,45.1928316967761
1582539000,26171,26171,26171,26171,26197.351168,NaN,NaN,NaN,NaN,26171,1,4.15,44.91757134875473
1582539900,26163,26163,26163,26163,26192,NaN,NaN,NaN,NaN,26163,1,3.9,44.75967395891613
1582541100,26152,26152,26136,26136,26178.4,NaN,NaN,NaN,NaN,26144,2,3.9,44.932785023454485
1582542300,26115,26115,26111,26111,26167.52,NaN,NaN,NaN,NaN,26113,2,3.9,45.36619881692271
1582542600,26112,26112,26112,26112,26156.216,NaN,NaN,NaN,NaN,26112,1,3.45,45.76865448228606
1582543200,26127,26127,26127,26127,26147.1728,NaN,NaN,NaN,NaN,26127,1,3.4,45.62588674889917
1582544400,26151,26151,26151,26151,26111,26111,26111,NaN,NaN,26151,1,3.4,44.710585066087695
1582544700,26161,26161,26161,26161,26115,NaN,NaN,NaN,NaN,26161,1,3.3,43.54693691036387
1582545600,26186,26186,26186,26186,26120.52,NaN,NaN,NaN,NaN,26186,1,3.3,41.716466358281
1582546500,26189,26189,26189,26189,26129.6872,NaN,NaN,NaN,NaN,26189,1,2.25,39.9286822590689
1582547700,26160,26160,26160,26160,26139.177248,NaN,NaN,NaN,NaN,26160,1,1.7,38.85271424480937
1582548600,26157,26157,26157,26157,26147.14888832,NaN,NaN,NaN,NaN,26157,1,1.6,37.91165292434048
1582549500,26150,26150,26150,26150,26189,NaN,NaN,26189,26189,26150,1,1.35,37.178287902259214
1582549800,26150,26150,26150,26150,26185.1,NaN,NaN,NaN,NaN,26150,1,1.3,36.49730609604089
1582551600,26136,26136,26136,26136,26181.59,NaN,NaN,NaN,NaN,26136,1,1.15,36.163840658160105
1582552200,26103,26103,26100,26100,26176.1192,NaN,NaN,NaN,NaN,26101.5,3,1.25,36.526345457759255
1582553700,26033,26038,26033,26038,26165.462512000002,NaN,NaN,NaN,NaN,26035.5,30,2.7,37.77252805864088
1582554000,26027,26027,25999,26000,26144.26851008,NaN,NaN,NaN,NaN,26013.25,25,3.9,39.277826562804755
1582554300,26009,26009,26009,26009,26118.1201782656,NaN,NaN,NaN,NaN,26009,1,3.9,40.67560374524263
1582554600,26060,26060,26060,26060,26096.67854617779,NaN,NaN,NaN,NaN,26060,1,3.85,40.20857368404537
1582554900,26092,26092,26092,26092,25999,25999,25999,NaN,NaN,26092,1,3.85,38.86359391170125
1582555500,26110,26110,26110,26110,26008.3,NaN,NaN,NaN,NaN,26110,1,3.85,37.14236204131638
1582555800,26123,26123,26123,26123,26020.504,NaN,NaN,NaN,NaN,26123,1,3.8,35.21084647367257
1582557000,26163,26163,26163,26163,26034.85344,NaN,NaN,NaN,NaN,26163,1,3.75,32.907833755605566
1582557900,26114,26114,26114,26114,26055.3568896,NaN,NaN,NaN,NaN,26114,1,3.75,31.341070398138214
1582564500,26120,26120,26120,26120,26072.579787264,NaN,NaN,NaN,NaN,26120,1,3.75,29.747172827314056
1582564800,26137,26137,26137,26137,26087.047021301758,NaN,NaN,NaN,NaN,26137,1,3.75,27.87147602711886
1582565700,26150,26150,26150,26150,26099.199497893478,NaN,NaN,NaN,NaN,26150,1,3.75,25.928409761039312
1582566000,26163,26163,26163,26163,26109.407578230523,NaN,NaN,NaN,NaN,26163,1,3.75,24.418264516227676
1582567500,26120,26120,26120,26120,26117.98236571364,NaN,NaN,NaN,NaN,26120,1,3.75,23.295273771103954
1582567800,26122,26122,26122,26122,26163,NaN,NaN,26163,26163,26122,1,3.75,22.20277819720227
1582570500,26120,26120,26120,26120,26158.9,NaN,NaN,NaN,NaN,26120,1,3.75,21.233325912245242
1582593300,26349,26391,26349,26355,26120,26120,26120,NaN,NaN,26361,15,4.45,22.978761270366014
1582593600,26390,26411,26390,26395,26120,NaN,NaN,NaN,NaN,26396.5,11,4.95,24.74780497210907
1582593900,26390,26403,26390,26403,26154.92,NaN,NaN,NaN,NaN,26396.5,3,5.05,26.390488409441907
1582594200,26350,26425,26350,26422,26185.649599999997,NaN,NaN,NaN,NaN,26386.75,50,7.4,27.056668295938675
1582594500,26420,26455,26398,26455,26219.158655999996,NaN,NaN,NaN,NaN,26432,8,6.3,27.95856533428223
1582594800,26445,26468,26445,26465,26256.893271039997,NaN,NaN,NaN,NaN,26455.75,13,5.7,28.91661956184529
1582595100,26490,26490,26490,26490,26294.8924822528,NaN,NaN,NaN,NaN,26490,1,5.7,30.009477153923463
1582595400,26470,26471,26441,26461,26333.91398580224,NaN,NaN,NaN,NaN,26460.75,11,6.2,29.95018192532423
1582595700,26419,26419,26408,26408,26365.13118864179,NaN,NaN,NaN,NaN,26413.5,2,6.25,29.246396036901196
1582596000,26416,26416,26416,26416,26390.104950913432,NaN,NaN,NaN,NaN,26416,5,6.45,28.5928805690798
