time,open,high,low,close,Volume
1601019000,22970,22970,22960,22960,115
1601019300,22970,22970,22970,22970,2
1601020200,22940,22940,22940,22940,2
1601020500,22930,22930,22930,22930,2
1601021400,22900,22910,22900,22910,3
1601021700,22910,22910,22910,22910,1
1601023200,22930,22930,22930,22930,5
1601023500,22928,22928,22928,22928,2
1601024100,22940,22940,22940,22940,2
1601024400,22950,22950,22950,22950,1
1601025900,22910,22910,22910,22910,2
1601026200,22900,22900,22900,22900,2
1601026500,22890,22890,22890,22890,4
1601027100,22860,22860,22860,22860,2
1601027700,22890,22890,22890,22890,2
1601028300,22890,22890,22890,22890,3
1601029200,22850,22850,22850,22850,1
1601029800,22840,22840,22840,22840,2
1601030700,22830,22830,22820,22820,6
1601031900,22800,22810,22790,22810,13
1601032200,22820,22820,22820,22820,3
1601033400,22830,22830,22830,22830,1
1601034000,22850,22850,22850,22850,1
1601034300,22850,22850,22850,22850,2
1601034600,22860,22880,22860,22880,10
1601034900,22880,22880,22880,22880,1
1601035200,22880,22880,22880,22880,4
1601036100,22870,22870,22870,22870,4
1601036400,22870,22870,22870,22870,2
1601036700,22870,22870,22860,22860,6
1601037300,22860,22860,22860,22860,4
1601038500,22880,22890,22880,22890,3
1601039100,22880,22880,22880,22880,1
1601040000,22880,22880,22880,22880,6
1601040300,22860,22860,22860,22860,2
1601040900,22850,22850,22850,22850,1
1601041200,22860,22900,22860,22900,7
1601041800,22870,22880,22870,22880,8
1601042100,22860,22860,22860,22860,1
1601042400,22890,22890,22880,22880,2
1601043000,22860,22860,22850,22860,16
1601043300,22840,22860,22840,22860,3
1601043600,22870,22900,22870,22900,8
1601043900,22900,22920,22900,22920,19
1601044200,22920,22920,22910,22920,5
1601044500,22900,22910,22900,22910,4
1601044800,22940,22940,22940,22940,1
1601045100,22930,22930,22930,22930,3
1601045700,22920,22920,22920,22920,1
1601046600,22890,22890,22890,22890,3
1601046900,22910,22920,22910,22920,6
1601047200,22930,22930,22930,22930,3
1601049900,22930,22930,22930,22930,1
1601051700,22940,22940,22940,22940,1
1601053500,22970,22970,22970,22970,2
1601055000,22970,22970,22970,22970,1
1601056500,22980,22980,22980,22980,3
1601056800,22980,22980,22980,22980,3
1601057100,22990,22990,22990,22990,1
1601057400,22990,22990,22990,22990,5
1601057700,23000,23000,23000,23000,1
1601060700,23040,23040,23040,23040,2
1601061600,23050,23050,23050,23050,1
1601062500,23030,23030,23030,23030,1
1601063100,23050,23050,23050,23050,1
1601063700,23070,23070,23070,23070,1
1601064600,23100,23100,23100,23100,2
1601064900,23110,23110,23110,23110,1
1601250300,23130,23160,23130,23160,35
1601250600,23170,23170,23170,23170,2
1601250900,23170,23170,23160,23160,18
1601251200,23160,23160,23160,23160,14
1601251500,23160,23160,23150,23150,20
1601251800,23140,23150,23120,23120,20
1601252100,23140,23140,23140,23140,15
1601252400,23130,23130,23130,23130,5
1601252700,23120,23120,23120,23120,3
1601253000,23100,23100,23100,23100,1
1601254500,23100,23100,23090,23090,16
1601254800,23090,23090,23090,23090,1
1601255100,23100,23100,23100,23100,1
1601256000,23140,23140,23140,23140,2
1601256300,23140,23140,23140,23140,5
1601256600,23130,23130,23130,23130,11
1601256900,23130,23130,23130,23130,6
1601257200,23138,23150,23138,23150,8
