time,open,high,low,close,Volume
1649403900,27060,27060,27050,27050,4
1649404200,27080,27080,27080,27080,1
1649404800,27100,27100,27100,27100,1
1649406000,27110,27110,27110,27110,1
1649406300,27120,27120,27120,27120,4
1649408100,27040,27040,27020,27020,12
1649411400,27060,27060,27060,27060,2
1649412600,27070,27070,27070,27070,1
1649423700,27010,27020,27010,27020,29
1649424300,26980,26980,26980,26980,1
1649424600,26960,26960,26960,26960,8
1649426700,26990,27000,26990,27000,2
1649427000,27010,27010,27010,27010,1
1649428200,27050,27050,27050,27050,3
1649429400,27070,27070,27070,27070,2
1649430000,27090,27110,27090,27110,4
1649430600,27080,27080,27080,27080,1
1649431500,27050,27050,27050,27050,10
1649441700,26990,26990,26990,26990,3
1649447400,26930,26930,26930,26930,2
1649634300,26860,26860,26860,26860,5
1649634900,26860,26860,26830,26830,11
1649635200,26790,26790,26710,26710,27
1649635500,26750,26750,26750,26750,3
1649635800,26730,26730,26710,26710,6
1649636100,26770,26770,26760,26760,5
1649636700,26810,26810,26810,26810,2
1649637900,26840,26840,26840,26840,1
1649638500,26870,26870,26870,26870,1
1649639100,26870,26890,26870,26890,3
1649639400,26910,26940,26910,26940,22
1649639700,26880,26890,26870,26890,36
1649640000,26920,26930,26920,26930,12
1649640600,26880,26880,26850,26850,17
1649641200,26820,26820,26820,26820,1
1649641500,26800,26820,26800,26820,2
1649641800,26800,26800,26800,26800,1
1649642100,26760,26760,26760,26760,4
1649642400,26780,26780,26780,26780,1
1649642700,26800,26800,26800,26800,1
1649643000,26800,26800,26790,26790,7
1649643300,26760,26760,26760,26760,1
1649647800,26750,26750,26720,26720,16
1649648700,26670,26710,26670,26710,5
1649649000,26680,26680,26680,26680,2
1649649300,26690,26690,26690,26690,1
1649649600,26720,26720,26720,26720,1
1649653800,26720,26720,26720,26720,4
1649656500,26760,26760,26760,26760,4
1649656800,26740,26740,26740,26740,4
1649657700,26740,26740,26740,26740,10
1649662200,26840,26840,26840,26840,3
1649662500,26860,26860,26860,26860,1
1649663100,26880,26880,26880,26880,4
1649664600,26800,26800,26800,26800,1
1649665200,26730,26730,26730,26730,2
1649669700,26820,26820,26820,26820,1
1649670300,26850,26850,26850,26850,5
1649672100,26860,26860,26860,26860,3
1649673300,26840,26840,26840,26840,1
1649673900,26850,26850,26850,26850,2
1649674200,26870,26870,26870,26870,1
1649674500,26880,26890,26880,26890,4
1649674800,26910,26910,26910,26910,1
1649676300,26910,26910,26910,26910,1
1649676600,26890,26890,26890,26890,1
1649678700,26840,26840,26840,26840,1
1649681100,26820,26830,26820,26830,5
1649682000,26830,26830,26830,26830,1
1649684100,26800,26800,26800,26800,7
1649684400,26800,26800,26800,26800,1
1649686200,26910,26910,26910,26910,1
1649687100,26840,26840,26840,26840,1
1649687400,26850,26850,26850,26850,1
1649688300,26820,26820,26820,26820,3
1649688600,26820,26820,26820,26820,3
1649689800,26800,26800,26800,26800,4
1649690100,26790,26790,26790,26790,2
1649690400,26790,26790,26790,26790,3
1649690700,26790,26790,26790,26790,2
1649691000,26800,26810,26800,26810,2
1649691300,26820,26830,26820,26830,2
1649697900,26810,26810,26810,26810,1
1649701800,26790,26790,26790,26790,1
1649702100,26790,26790,26790,26790,1
1649705400,26730,26730,26720,26720,4
1649705700,26710,26710,26710,26710,2
1649706000,26700,26700,26700,26700,1
1649706300,26710,26710,26710,26710,1
1649706600,26690,26690,26680,26680,2
1649706900,26660,26660,26660,26660,1
1649707200,26650,26650,26650,26650,3
1649710200,26670,26670,26670,26670,5
1649720700,26560,26560,26500,26500,34
1649721000,26500,26510,26500,26500,9
1649721300,26500,26500,26480,26500,4
1649721600,26520,26570,26520,26570,18
1649722200,26500,26500,26500,26500,1
1649722800,26530,26530,26500,26500,5
1649723100,26520,26560,26520,26560,2
1649723400,26580,26580,26580,26580,1
1649724300,26560,26560,26560,26560,2
1649724600,26520,26520,26520,26520,1
1649724900,26520,26520,26470,26470,15
1649725200,26470,26470,26470,26470,2
1649725500,26460,26460,26460,26460,5
