time,open,high,low,close,Volume
1530862200,21580,21580,21567,21567,3
1530862500,21570,21570,21570,21570,1
1530862800,21560,21560,21560,21560,1
1530864600,21560,21560,21560,21560,1
1530864900,21540,21540,21540,21540,1
1530866100,21590,21590,21590,21590,1
1530866400,21580,21580,21580,21580,11
1530868200,21590,21590,21590,21590,1
1530870600,21550,21550,21550,21550,2
1530873900,21570,21570,21570,21570,1
1530877200,21550,21550,21550,21550,1
1530879900,21570,21570,21570,21570,1
1530880200,21580,21610,21580,21610,15
1530880500,21590,21590,21580,21580,3
1530880800,21570,21570,21570,21570,1
1530882300,21540,21540,21540,21540,1
1530882600,21540,21540,21540,21540,1
1530885600,21580,21580,21580,21580,1
1530885900,21580,21580,21570,21570,2
1530886200,21590,21590,21590,21590,1
1530887700,21590,21590,21590,21590,2
1530888000,21610,21610,21610,21610,2
1530888300,21610,21610,21610,21610,4
1530888600,21620,21620,21620,21620,1
1530888900,21630,21630,21630,21630,2
1530889200,21630,21630,21630,21630,1
1530889500,21640,21640,21640,21640,1
1530890700,21650,21650,21650,21650,2
1530891300,21670,21670,21670,21670,1
1530892500,21660,21660,21660,21660,1
1530893400,21670,21670,21670,21670,2
1530894300,21680,21680,21680,21680,1
1530894900,21680,21680,21680,21680,5
1530895500,21670,21670,21670,21670,7
1530896400,21660,21660,21660,21660,1
1530900000,21660,21660,21660,21660,1
1530900900,21650,21650,21650,21650,1
1530905100,21660,21660,21660,21660,2
1530906000,21630,21630,21630,21630,1
1530906300,21610,21610,21610,21610,1
1530907200,21620,21620,21620,21620,1
1530907800,21630,21630,21630,21630,1
1530909000,21640,21640,21640,21640,7
1531093500,21690,21700,21670,21700,7
1531094100,21700,21700,21700,21700,1
1531094400,21700,21700,21700,21700,2
1531094700,21700,21750,21700,21750,7
1531095000,21750,21760,21740,21760,8
1531095300,21760,21800,21760,21800,13
1531095600,21790,21790,21790,21790,1
1531095900,21800,21800,21800,21800,2
1531096200,21800,21800,21780,21780,55
1531096500,21780,21780,21780,21780,1
1531097100,21780,21780,21780,21780,1
1531097700,21780,21780,21770,21770,2
1531098300,21800,21800,21800,21800,1
1531098900,21830,21850,21830,21840,7
1531099200,21800,21800,21800,21800,2
1531100400,21820,21840,21820,21840,3
1531101300,21850,21850,21850,21850,2
1531101600,21870,21870,21870,21870,2
1531101900,21860,21860,21860,21860,1
1531102800,21890,21890,21890,21890,1
1531103400,21890,21890,21890,21890,1
1531105500,21860,21860,21860,21860,1
1531105800,21880,21880,21880,21880,1
1531106100,21860,21860,21860,21860,1
1531107000,21890,21900,21890,21900,6
1531110600,21900,21900,21900,21900,2
1531111200,21880,21880,21880,21880,1
1531112400,21860,21860,21860,21860,2
1531115400,21850,21850,21850,21850,1
1531116300,21860,21890,21860,21890,4
1531116900,21900,21900,21900,21900,7
1531121400,21900,21900,21900,21900,4
1531123800,21880,21880,21880,21880,4
